,0
965,RPS6KA6
966,EPN2
967,PTPN18
968,LIMS2
969,LNX1
970,ALDH3A2
971,TFRC
972,SREBF1
973,AFF4
974,UBE2D1
975,MPP5
976,RHOBTB1
977,SMC1A
978,HSD17B10
979,MARK2
980,HMMR
981,CHFR
982,TRHDE
983,P4HA2
984,FCGR2B
985,NFATC3
986,TRNT1
987,ACADVL
988,FBXW11
989,CRMP1
990,EVC
991,DERL2
992,SIDT1
993,NDE1
994,MRVI1
995,TMEM38A
996,AP1M1
997,PVR
998,XRCC1
999,SCARB1
1000,MCM2
1001,MOV10L1
1002,PANX2
1003,TP63
1004,ALPK1
1005,LLGL2
1006,PDE8A
1007,CLCN4
1008,NLE1
1009,SDHA
1010,SMARCE1
1011,FNDC8
1012,ADAM11
1013,PPP2R3A
1014,DHRS9
1015,PTGS2
1016,IGF2BP2
1017,MAP3K13
1018,ST6GAL1
1019,TBX21
1020,FRY
1021,PICALM
1022,NSF
1023,GLI2
1024,CLASP1
1025,MRPS34
1026,NOTCH3
1027,CLNS1A
1028,PPP2R2C
1029,TEAD2
1030,EED
1031,SNCB
1032,TSG101
1033,ATP2A3
1034,CA12
1035,MGLL
1036,NTN4
1037,BCS1L
1038,NUAK1
1039,DPP8
1040,SLC24A1
1041,ZNF532
1042,SCARF1
1043,LMAN1
1044,ZZEF1
1045,ENO1
1046,SLC12A1
1047,TUBE1
1048,ARHGEF10L
1049,TXK
1050,WSCD2
1051,KCNQ2
1052,TACR2
1053,ACTR6
1054,TIPIN
1055,SRI
1056,EIF4G3
1057,NUP37
1058,SEMA3A
1059,GTSE1
1060,SEMA3C
1061,ACAT1
1062,CELSR1
1063,WNT8B
1064,ZNF638
1065,SLC25A40
1066,ADD2
1067,RASAL2
1068,ZNF37A
1069,MARK3
1070,SLC25A3
1071,FNDC3B
1072,FOSL2
1073,CACNG4
1074,FRYL
1075,TMEM131
1076,FSCN1
1077,ACTB
1078,MOCOS
1079,PLD1
1080,ATP12A
1081,WDR62
1082,DLG1
1083,RAB7A
1084,BCAP29
1085,SEC31B
1086,SART3
1087,ARHGAP15
1088,TUBA3D
1089,PAX2
1090,EXOSC7
1091,KIFAP3
1092,MKRN2
1093,MCM6
1094,REXO2
1095,RBM7
